tipo_caso,nivel_complejidad,fecha_incidencia,descripcion,monto_involucrado,estado,responsable,comentarios
Proveedor VIP,Bajo,2022-05-21,Descripción del caso 251,11937.33,En Proceso,Alice,Comentario adicional 87
Proveedor VIP,Alto,2022-08-05,Descripción del caso 33,2460.06,Abierto,Bob,Comentario adicional 65
Pago Urgente,Alto,2022-04-12,Descripción del caso 734,32844.34,En Proceso,David,Comentario adicional 29
Ajuste Contable,Alto,2022-05-23,Descripción del caso 829,43595.72,Abierto,David,Comentario adicional 44
Excepción Regulatoria,Bajo,2022-04-21,Descripción del caso 981,38411.21,Abierto,Alice,Comentario adicional 49
Proveedor VIP,Medio,2022-06-26,Descripción del caso 619,13961.52,Abierto,David,Comentario adicional 69
Proveedor VIP,Medio,2022-02-10,Descripción del caso 566,15365.74,En Proceso,Charlie,Comentario adicional 74
Aprobación Manual,Alto,2022-02-05,Descripción del caso 47,33401.9,Cerrado,Alice,Comentario adicional 30
Proveedor VIP,Medio,2022-05-23,Descripción del caso 465,32148.54,Cerrado,Bob,Comentario adicional 48
Caso de Fuerza Mayor,Bajo,2022-12-10,Descripción del caso 274,35389.2,En Proceso,Alice,Comentario adicional 78
Transacción con Disputa,Alto,2022-05-06,Descripción del caso 168,23650.75,Cerrado,Bob,Comentario adicional 88
Caso de Fuerza Mayor,Bajo,2022-04-28,Descripción del caso 842,2572.91,Cerrado,David,Comentario adicional 35
Proveedor VIP,Bajo,2022-10-18,Descripción del caso 898,36177.8,Abierto,David,Comentario adicional 51
Ajuste Contable,Bajo,2022-05-16,Descripción del caso 143,13084.75,En Proceso,Charlie,Comentario adicional 96
Transacción Internacional Compleja,Alto,2022-07-24,Descripción del caso 371,11746.72,Abierto,David,Comentario adicional 12
Pago Urgente,Bajo,2022-03-20,Descripción del caso 643,8839.12,En Proceso,David,Comentario adicional 77
Proveedor VIP,Medio,2022-07-15,Descripción del caso 611,49809.95,En Proceso,Charlie,Comentario adicional 71
Pago Urgente,Alto,2022-02-28,Descripción del caso 699,44354.63,Cerrado,Charlie,Comentario adicional 15
Excepción Regulatoria,Medio,2022-03-22,Descripción del caso 465,1159.02,En Proceso,Charlie,Comentario adicional 65
Transacción con Disputa,Alto,2022-02-24,Descripción del caso 892,31639.71,En Proceso,Bob,Comentario adicional 20
Caso de Fuerza Mayor,Bajo,2022-10-04,Descripción del caso 977,39152.7,En Proceso,Alice,Comentario adicional 77
Caso de Fuerza Mayor,Medio,2022-01-10,Descripción del caso 115,46525.83,Cerrado,Bob,Comentario adicional 8
Aprobación Manual,Alto,2022-02-10,Descripción del caso 88,36863.47,Abierto,Bob,Comentario adicional 17
Ajuste Contable,Alto,2022-03-26,Descripción del caso 272,26856.02,En Proceso,David,Comentario adicional 28
Aprobación Manual,Alto,2022-06-09,Descripción del caso 409,49762.32,En Proceso,Charlie,Comentario adicional 57
Ajuste Contable,Bajo,2022-05-07,Descripción del caso 231,4137.27,Abierto,Bob,Comentario adicional 76
Aprobación Manual,Bajo,2022-02-06,Descripción del caso 725,31924.04,Abierto,Alice,Comentario adicional 5
Caso de Fuerza Mayor,Bajo,2022-09-21,Descripción del caso 244,14645.39,Cerrado,Bob,Comentario adicional 70
Transacción con Disputa,Alto,2022-10-20,Descripción del caso 591,24160.88,Cerrado,David,Comentario adicional 25
Proveedor VIP,Bajo,2022-12-04,Descripción del caso 442,18360.58,Cerrado,David,Comentario adicional 94
Pago Urgente,Alto,2022-12-01,Descripción del caso 662,5822.48,Cerrado,Charlie,Comentario adicional 14
Aprobación Manual,Bajo,2022-04-08,Descripción del caso 550,22982.06,Cerrado,Bob,Comentario adicional 36
Ajuste Contable,Bajo,2022-02-08,Descripción del caso 454,40593.09,En Proceso,Alice,Comentario adicional 7
Pago Urgente,Bajo,2022-05-02,Descripción del caso 171,20914.29,Cerrado,Bob,Comentario adicional 52
Pago Urgente,Bajo,2022-07-14,Descripción del caso 3,49280.13,Cerrado,David,Comentario adicional 37
Transacción Internacional Compleja,Alto,2022-10-12,Descripción del caso 678,36202.01,Abierto,Bob,Comentario adicional 38
Aprobación Manual,Bajo,2022-10-24,Descripción del caso 754,27567.56,En Proceso,Charlie,Comentario adicional 8
Pago Urgente,Alto,2022-09-02,Descripción del caso 515,46049.97,En Proceso,Bob,Comentario adicional 8
Proveedor VIP,Bajo,2022-02-05,Descripción del caso 610,4330.08,Abierto,David,Comentario adicional 16
Aprobación Manual,Alto,2022-11-01,Descripción del caso 41,31349.69,Cerrado,Charlie,Comentario adicional 34
Aprobación Manual,Alto,2022-06-10,Descripción del caso 245,14015.11,Abierto,Charlie,Comentario adicional 59
Caso de Fuerza Mayor,Bajo,2022-01-05,Descripción del caso 470,31436.8,En Proceso,Alice,Comentario adicional 10
Aprobación Manual,Alto,2022-05-16,Descripción del caso 136,46729.71,Abierto,Bob,Comentario adicional 48
Excepción Regulatoria,Bajo,2022-08-13,Descripción del caso 854,27617.68,Cerrado,Alice,Comentario adicional 86
Excepción Regulatoria,Alto,2022-02-23,Descripción del caso 962,44028.22,Cerrado,Alice,Comentario adicional 14
Transacción con Disputa,Medio,2022-05-25,Descripción del caso 620,11320.85,Cerrado,Bob,Comentario adicional 88
Excepción Regulatoria,Alto,2022-09-08,Descripción del caso 258,45361.49,Abierto,Alice,Comentario adicional 82
Transacción Internacional Compleja,Medio,2022-01-23,Descripción del caso 4,17344.27,Abierto,Charlie,Comentario adicional 21
Ajuste Contable,Alto,2022-12-28,Descripción del caso 438,28484.44,Abierto,Alice,Comentario adicional 89
Transacción con Disputa,Alto,2022-01-19,Descripción del caso 855,19091.58,En Proceso,Bob,Comentario adicional 56
Transacción con Disputa,Bajo,2022-06-07,Descripción del caso 374,45050.09,Abierto,Charlie,Comentario adicional 27
Aprobación Manual,Alto,2022-02-22,Descripción del caso 363,39225.7,Cerrado,Bob,Comentario adicional 31
Transacción con Disputa,Bajo,2022-07-31,Descripción del caso 26,9788.67,Cerrado,David,Comentario adicional 86
Aprobación Manual,Medio,2022-03-23,Descripción del caso 807,35362.63,Cerrado,Alice,Comentario adicional 61
Aprobación Manual,Bajo,2022-08-24,Descripción del caso 359,15954.35,Abierto,Bob,Comentario adicional 4
Aprobación Manual,Medio,2022-06-18,Descripción del caso 286,43353.29,Cerrado,Charlie,Comentario adicional 83
Transacción Internacional Compleja,Alto,2022-10-02,Descripción del caso 340,47022.62,Abierto,Charlie,Comentario adicional 23
Excepción Regulatoria,Bajo,2022-02-25,Descripción del caso 611,22293.62,En Proceso,Charlie,Comentario adicional 56
Proveedor VIP,Medio,2022-10-23,Descripción del caso 195,13481.4,En Proceso,David,Comentario adicional 1
Aprobación Manual,Medio,2022-08-09,Descripción del caso 72,47494.85,Cerrado,Charlie,Comentario adicional 85
Proveedor VIP,Alto,2022-06-03,Descripción del caso 520,16154.95,Cerrado,Charlie,Comentario adicional 52
Excepción Regulatoria,Alto,2022-03-07,Descripción del caso 197,21601.87,Cerrado,Bob,Comentario adicional 79
Excepción Regulatoria,Medio,2022-10-08,Descripción del caso 854,1019.89,Cerrado,Bob,Comentario adicional 56
Caso de Fuerza Mayor,Medio,2022-08-15,Descripción del caso 453,34105.73,En Proceso,David,Comentario adicional 95
Transacción con Disputa,Alto,2022-02-13,Descripción del caso 291,26257.15,En Proceso,Charlie,Comentario adicional 12
Aprobación Manual,Alto,2022-06-08,Descripción del caso 231,40521.58,Abierto,Alice,Comentario adicional 6
Aprobación Manual,Medio,2022-11-09,Descripción del caso 871,38655.98,Cerrado,David,Comentario adicional 81
Aprobación Manual,Alto,2022-12-23,Descripción del caso 394,25224.48,Abierto,Bob,Comentario adicional 84
Pago Urgente,Bajo,2022-08-06,Descripción del caso 225,9618.45,En Proceso,David,Comentario adicional 7
Aprobación Manual,Bajo,2022-08-22,Descripción del caso 137,40269.41,En Proceso,Charlie,Comentario adicional 97
Ajuste Contable,Alto,2022-09-16,Descripción del caso 437,41697.89,En Proceso,David,Comentario adicional 21
Ajuste Contable,Medio,2022-05-13,Descripción del caso 770,13114.75,En Proceso,Charlie,Comentario adicional 99
Ajuste Contable,Alto,2022-05-03,Descripción del caso 282,22553.76,En Proceso,Charlie,Comentario adicional 31
Excepción Regulatoria,Medio,2022-06-13,Descripción del caso 915,27467.46,Abierto,Bob,Comentario adicional 30
Transacción Internacional Compleja,Alto,2022-03-20,Descripción del caso 724,11483.69,Cerrado,David,Comentario adicional 43
Ajuste Contable,Medio,2022-02-01,Descripción del caso 212,41811.67,Cerrado,Alice,Comentario adicional 98
Transacción Internacional Compleja,Medio,2022-01-04,Descripción del caso 966,18236.18,Cerrado,David,Comentario adicional 69
Aprobación Manual,Medio,2022-04-23,Descripción del caso 280,22355.96,Abierto,David,Comentario adicional 44
Transacción Internacional Compleja,Alto,2022-03-26,Descripción del caso 861,23902.12,Abierto,Alice,Comentario adicional 51
Pago Urgente,Bajo,2022-11-26,Descripción del caso 439,7649.27,Cerrado,Bob,Comentario adicional 7
Excepción Regulatoria,Medio,2022-06-17,Descripción del caso 217,23280.27,Cerrado,David,Comentario adicional 36
Transacción Internacional Compleja,Medio,2022-02-11,Descripción del caso 482,1949.78,En Proceso,Alice,Comentario adicional 45
Aprobación Manual,Alto,2022-02-05,Descripción del caso 800,47906.99,Abierto,Alice,Comentario adicional 32
Aprobación Manual,Bajo,2022-11-15,Descripción del caso 157,12688.7,Cerrado,Alice,Comentario adicional 73
Aprobación Manual,Medio,2022-12-25,Descripción del caso 263,38578.01,Abierto,Alice,Comentario adicional 100
Transacción con Disputa,Medio,2022-02-25,Descripción del caso 593,2258.24,Cerrado,David,Comentario adicional 51
Aprobación Manual,Bajo,2022-10-31,Descripción del caso 708,41698.01,Abierto,Alice,Comentario adicional 90
Excepción Regulatoria,Alto,2022-11-04,Descripción del caso 825,6931.7,En Proceso,Alice,Comentario adicional 45
Transacción Internacional Compleja,Alto,2022-07-09,Descripción del caso 71,25792.08,Cerrado,Alice,Comentario adicional 54
Ajuste Contable,Bajo,2022-08-10,Descripción del caso 984,18747.21,Cerrado,Bob,Comentario adicional 56
Transacción con Disputa,Alto,2022-09-25,Descripción del caso 989,32872.41,En Proceso,David,Comentario adicional 60
Transacción Internacional Compleja,Alto,2022-10-31,Descripción del caso 275,16792.92,Abierto,Alice,Comentario adicional 36
Ajuste Contable,Bajo,2022-08-26,Descripción del caso 584,30906.25,Cerrado,Charlie,Comentario adicional 4
Ajuste Contable,Medio,2022-04-04,Descripción del caso 500,11393.87,Cerrado,Charlie,Comentario adicional 36
Excepción Regulatoria,Alto,2022-01-06,Descripción del caso 530,47455.07,Abierto,Bob,Comentario adicional 93
Transacción Internacional Compleja,Medio,2022-10-12,Descripción del caso 777,12775.87,Cerrado,David,Comentario adicional 58
Pago Urgente,Bajo,2022-05-31,Descripción del caso 227,20815.66,Abierto,Charlie,Comentario adicional 85
Caso de Fuerza Mayor,Medio,2022-10-11,Descripción del caso 544,17844.11,En Proceso,Charlie,Comentario adicional 46
Ajuste Contable,Medio,2022-06-06,Descripción del caso 258,12296.36,En Proceso,Bob,Comentario adicional 41
Proveedor VIP,Alto,2022-10-02,Descripción del caso 974,38347.29,Abierto,Bob,Comentario adicional 28
Ajuste Contable,Medio,2022-10-29,Descripción del caso 779,26707.21,Cerrado,Alice,Comentario adicional 25
Excepción Regulatoria,Bajo,2022-07-04,Descripción del caso 184,15811.11,En Proceso,Bob,Comentario adicional 36
Pago Urgente,Bajo,2022-10-11,Descripción del caso 300,35173.45,Abierto,David,Comentario adicional 14
Pago Urgente,Alto,2022-05-26,Descripción del caso 481,24457.0,Cerrado,Bob,Comentario adicional 7
Excepción Regulatoria,Medio,2022-02-28,Descripción del caso 842,4201.83,Cerrado,Alice,Comentario adicional 74
Pago Urgente,Bajo,2022-03-18,Descripción del caso 831,28579.14,Cerrado,Alice,Comentario adicional 32
Proveedor VIP,Alto,2022-08-02,Descripción del caso 621,30210.22,En Proceso,Bob,Comentario adicional 100
Transacción Internacional Compleja,Medio,2022-08-15,Descripción del caso 305,43148.17,Cerrado,Charlie,Comentario adicional 73
Pago Urgente,Alto,2022-02-20,Descripción del caso 971,38374.12,En Proceso,Bob,Comentario adicional 34
Proveedor VIP,Bajo,2022-05-03,Descripción del caso 178,28047.62,Abierto,Alice,Comentario adicional 53
Ajuste Contable,Alto,2022-11-01,Descripción del caso 482,15271.71,Abierto,Charlie,Comentario adicional 91
Excepción Regulatoria,Alto,2022-08-21,Descripción del caso 73,34681.86,Cerrado,Bob,Comentario adicional 55
Proveedor VIP,Alto,2022-04-26,Descripción del caso 664,8300.48,Cerrado,Bob,Comentario adicional 10
Pago Urgente,Bajo,2022-06-07,Descripción del caso 610,37698.93,En Proceso,Charlie,Comentario adicional 57
Proveedor VIP,Medio,2022-12-19,Descripción del caso 312,35286.95,Cerrado,David,Comentario adicional 57
Proveedor VIP,Alto,2022-01-21,Descripción del caso 911,22169.4,Cerrado,Charlie,Comentario adicional 4
Proveedor VIP,Bajo,2022-12-12,Descripción del caso 857,43165.33,En Proceso,Alice,Comentario adicional 98
Excepción Regulatoria,Alto,2022-01-21,Descripción del caso 782,38057.17,Cerrado,David,Comentario adicional 36
Transacción con Disputa,Alto,2022-08-12,Descripción del caso 651,40898.0,Abierto,David,Comentario adicional 45
Transacción Internacional Compleja,Medio,2022-06-14,Descripción del caso 687,6125.39,Abierto,Charlie,Comentario adicional 53
Ajuste Contable,Medio,2022-12-06,Descripción del caso 968,20622.16,En Proceso,Alice,Comentario adicional 59
Proveedor VIP,Medio,2022-05-10,Descripción del caso 332,6680.16,Cerrado,Alice,Comentario adicional 85
Ajuste Contable,Medio,2022-01-28,Descripción del caso 193,26403.53,En Proceso,David,Comentario adicional 81
Ajuste Contable,Bajo,2022-04-15,Descripción del caso 274,27911.76,Cerrado,David,Comentario adicional 90
Ajuste Contable,Bajo,2022-01-15,Descripción del caso 997,31871.09,Abierto,Bob,Comentario adicional 40
Pago Urgente,Alto,2022-07-28,Descripción del caso 96,12010.33,Abierto,David,Comentario adicional 16
Transacción con Disputa,Medio,2022-05-30,Descripción del caso 522,35565.17,Cerrado,David,Comentario adicional 61
Aprobación Manual,Medio,2022-10-10,Descripción del caso 149,19795.71,En Proceso,Bob,Comentario adicional 9
Excepción Regulatoria,Medio,2022-06-24,Descripción del caso 957,39598.15,Cerrado,Alice,Comentario adicional 37
Excepción Regulatoria,Alto,2022-10-24,Descripción del caso 676,24992.38,Abierto,David,Comentario adicional 69
Ajuste Contable,Medio,2022-06-20,Descripción del caso 566,38380.76,Cerrado,David,Comentario adicional 42
Aprobación Manual,Alto,2022-05-03,Descripción del caso 586,19765.57,Cerrado,Alice,Comentario adicional 41
Ajuste Contable,Alto,2022-07-15,Descripción del caso 396,49432.29,En Proceso,Bob,Comentario adicional 64
Pago Urgente,Bajo,2022-09-15,Descripción del caso 989,29918.84,Abierto,David,Comentario adicional 13
Ajuste Contable,Bajo,2022-03-15,Descripción del caso 420,43675.72,Abierto,Alice,Comentario adicional 61
Excepción Regulatoria,Medio,2022-11-16,Descripción del caso 710,20476.68,Abierto,Charlie,Comentario adicional 87
Transacción Internacional Compleja,Medio,2022-11-17,Descripción del caso 736,44484.5,Cerrado,Alice,Comentario adicional 80
Proveedor VIP,Bajo,2022-11-20,Descripción del caso 701,46125.53,Abierto,Alice,Comentario adicional 56
Proveedor VIP,Alto,2022-12-27,Descripción del caso 894,5924.85,Abierto,Charlie,Comentario adicional 4
Pago Urgente,Medio,2022-01-29,Descripción del caso 301,18564.7,Cerrado,Bob,Comentario adicional 32
Transacción Internacional Compleja,Alto,2022-12-16,Descripción del caso 812,9822.79,Abierto,Alice,Comentario adicional 79
Transacción Internacional Compleja,Alto,2022-12-16,Descripción del caso 247,25385.7,En Proceso,Bob,Comentario adicional 30
Ajuste Contable,Alto,2022-05-11,Descripción del caso 471,13511.01,Abierto,David,Comentario adicional 37
Transacción con Disputa,Bajo,2022-08-15,Descripción del caso 968,17932.72,En Proceso,Charlie,Comentario adicional 82
Transacción Internacional Compleja,Alto,2022-05-09,Descripción del caso 468,42419.89,Abierto,David,Comentario adicional 62
Proveedor VIP,Bajo,2022-07-15,Descripción del caso 586,18589.0,Cerrado,Charlie,Comentario adicional 3
Transacción Internacional Compleja,Medio,2022-01-05,Descripción del caso 580,43388.3,En Proceso,Alice,Comentario adicional 78
Ajuste Contable,Medio,2022-04-28,Descripción del caso 622,40294.67,Abierto,Bob,Comentario adicional 80
Excepción Regulatoria,Alto,2022-12-04,Descripción del caso 698,42078.52,En Proceso,Alice,Comentario adicional 81
Pago Urgente,Medio,2022-08-14,Descripción del caso 35,29399.12,En Proceso,Bob,Comentario adicional 12
Excepción Regulatoria,Medio,2022-08-01,Descripción del caso 180,10838.94,En Proceso,Charlie,Comentario adicional 68
Excepción Regulatoria,Bajo,2022-05-12,Descripción del caso 936,41409.8,Cerrado,Charlie,Comentario adicional 96
Caso de Fuerza Mayor,Bajo,2022-08-28,Descripción del caso 987,4689.67,Abierto,David,Comentario adicional 72
Caso de Fuerza Mayor,Bajo,2022-07-22,Descripción del caso 15,13958.47,Abierto,David,Comentario adicional 48
Excepción Regulatoria,Alto,2022-07-15,Descripción del caso 843,32288.91,Cerrado,Alice,Comentario adicional 87
Aprobación Manual,Medio,2022-01-13,Descripción del caso 635,44327.51,En Proceso,Charlie,Comentario adicional 79
Aprobación Manual,Alto,2022-02-02,Descripción del caso 651,41368.91,En Proceso,Charlie,Comentario adicional 84
Transacción Internacional Compleja,Bajo,2022-03-13,Descripción del caso 47,47366.82,Cerrado,David,Comentario adicional 15
Proveedor VIP,Bajo,2022-10-03,Descripción del caso 139,20043.65,Cerrado,David,Comentario adicional 76
Transacción con Disputa,Medio,2022-12-02,Descripción del caso 102,41850.96,En Proceso,David,Comentario adicional 36
Pago Urgente,Alto,2022-07-09,Descripción del caso 223,22725.77,Abierto,Charlie,Comentario adicional 13
Caso de Fuerza Mayor,Alto,2022-11-27,Descripción del caso 368,3966.95,Cerrado,Bob,Comentario adicional 16
Ajuste Contable,Bajo,2022-12-06,Descripción del caso 218,32443.52,En Proceso,Alice,Comentario adicional 7
Caso de Fuerza Mayor,Bajo,2022-03-06,Descripción del caso 806,28664.32,Abierto,Bob,Comentario adicional 76
Aprobación Manual,Bajo,2022-06-18,Descripción del caso 793,8230.15,En Proceso,Alice,Comentario adicional 36
Transacción con Disputa,Bajo,2022-10-04,Descripción del caso 257,40127.18,Abierto,Alice,Comentario adicional 17
Pago Urgente,Medio,2022-05-02,Descripción del caso 603,16864.8,Abierto,Charlie,Comentario adicional 7
Transacción con Disputa,Alto,2022-08-04,Descripción del caso 539,6568.82,Abierto,David,Comentario adicional 58
Caso de Fuerza Mayor,Alto,2022-10-31,Descripción del caso 112,23148.27,Abierto,Alice,Comentario adicional 94
Excepción Regulatoria,Medio,2022-11-26,Descripción del caso 988,2526.38,Cerrado,David,Comentario adicional 55
Proveedor VIP,Medio,2022-12-31,Descripción del caso 932,22734.55,Abierto,Charlie,Comentario adicional 78
Transacción con Disputa,Bajo,2022-03-06,Descripción del caso 282,31591.56,En Proceso,Charlie,Comentario adicional 49
Excepción Regulatoria,Medio,2022-09-16,Descripción del caso 620,22079.77,En Proceso,Alice,Comentario adicional 84
Aprobación Manual,Medio,2022-08-20,Descripción del caso 910,12196.19,Cerrado,David,Comentario adicional 52
Transacción Internacional Compleja,Alto,2022-02-18,Descripción del caso 321,21911.44,En Proceso,Charlie,Comentario adicional 48
Transacción con Disputa,Alto,2022-08-31,Descripción del caso 69,5470.01,Abierto,Alice,Comentario adicional 56
Proveedor VIP,Alto,2022-07-10,Descripción del caso 832,7375.66,Abierto,Charlie,Comentario adicional 86
Proveedor VIP,Medio,2022-07-01,Descripción del caso 895,33601.69,Cerrado,Alice,Comentario adicional 37
Excepción Regulatoria,Medio,2022-02-23,Descripción del caso 592,25863.21,Abierto,David,Comentario adicional 29
Proveedor VIP,Medio,2022-10-12,Descripción del caso 377,6629.38,Cerrado,Bob,Comentario adicional 55
Pago Urgente,Alto,2022-12-03,Descripción del caso 850,34980.09,Abierto,Bob,Comentario adicional 35
Excepción Regulatoria,Medio,2022-06-29,Descripción del caso 7,9888.87,Abierto,David,Comentario adicional 9
Transacción con Disputa,Alto,2022-11-21,Descripción del caso 996,2502.2,En Proceso,Bob,Comentario adicional 49
Transacción Internacional Compleja,Medio,2022-06-24,Descripción del caso 162,19132.6,En Proceso,Charlie,Comentario adicional 100
Proveedor VIP,Bajo,2022-03-21,Descripción del caso 162,37967.36,Abierto,Alice,Comentario adicional 35
Ajuste Contable,Alto,2022-08-06,Descripción del caso 498,30746.72,Cerrado,Charlie,Comentario adicional 28
Proveedor VIP,Medio,2022-08-09,Descripción del caso 114,14879.08,En Proceso,David,Comentario adicional 68
Excepción Regulatoria,Bajo,2022-04-23,Descripción del caso 405,49237.84,Abierto,Alice,Comentario adicional 27
Excepción Regulatoria,Bajo,2022-03-12,Descripción del caso 783,13520.46,Cerrado,Alice,Comentario adicional 1
Ajuste Contable,Alto,2022-08-09,Descripción del caso 180,7330.1,En Proceso,Bob,Comentario adicional 65
Caso de Fuerza Mayor,Bajo,2022-07-23,Descripción del caso 883,37360.03,Cerrado,Alice,Comentario adicional 59
Proveedor VIP,Medio,2022-10-22,Descripción del caso 440,29096.58,En Proceso,David,Comentario adicional 38
Proveedor VIP,Medio,2022-01-11,Descripción del caso 990,16913.64,En Proceso,David,Comentario adicional 89
Caso de Fuerza Mayor,Bajo,2022-08-12,Descripción del caso 865,6187.29,Cerrado,David,Comentario adicional 68
Proveedor VIP,Medio,2022-06-08,Descripción del caso 764,17636.15,Cerrado,Bob,Comentario adicional 10
Proveedor VIP,Alto,2022-09-19,Descripción del caso 199,45390.21,Cerrado,Charlie,Comentario adicional 94
Transacción con Disputa,Bajo,2022-02-22,Descripción del caso 150,13542.44,Abierto,Bob,Comentario adicional 98
Proveedor VIP,Bajo,2022-11-18,Descripción del caso 506,23733.7,En Proceso,David,Comentario adicional 88
Caso de Fuerza Mayor,Alto,2022-06-11,Descripción del caso 155,22548.38,Cerrado,David,Comentario adicional 81
Excepción Regulatoria,Medio,2022-10-30,Descripción del caso 58,18245.17,Abierto,Charlie,Comentario adicional 60
